Probe_CallRate	Probe_Id
0.984375	cg07501049
0.984375	cg13244315
0.625	cg24678117
0.640625	cg13246026
0.296875	cg05613094
0.015625	cg17491622
0.984375	cg09828226
0.984375	cg05181565
0.984375	cg23443459
0.984375	cg04087434
0.984375	cg02769781
0.984375	cg00309462
0.9375	cg15622118
0.078125	cg17254222
0.984375	cg11333375
0.984375	cg03529908
0.984375	cg17474920
0.984375	cg17025560
0.984375	cg19600583
0.984375	cg01793374
0.953125	cg01418153
0.984375	cg04600984
0.984375	cg25406408
0.984375	cg08919846
0.984375	cg03744522
0.984375	cg13461247
0.984375	cg17808634
0.984375	cg08159291
0.046875	cg24017268
0.5	cg25399512
0.984375	cg07274506
0.984375	cg07565540
0.984375	cg09216375
0.078125	cg13084560
0.0625	cg16162930
0.984375	cg12657380
0.984375	cg18149508
0.984375	cg17075937
0.984375	cg07139317
0.984375	cg22567621
0.984375	cg07049998
0.984375	cg04132522
0.640625	cg17641943
0.984375	cg09022584
0.96875	cg15650240
0.984375	cg18219212
0.984375	cg15073161
0.9375	cg15558527
0.828125	cg22533689
0.984375	cg08137080
0.984375	cg22391883
0.984375	cg09444866
0.984375	cg13115616
0.9375	cg09313801
0.984375	cg10967990
0.984375	cg15556553
0.984375	cg00065215
0.984375	cg06489364
0.984375	cg06094142
0.984375	cg18061134
0.984375	cg22190291
0.984375	cg03892551
0.984375	cg00907715
0.984375	cg10331462
0.984375	cg16718162
0.984375	cg21329070
0.984375	cg07595346
0.984375	cg20263885
0.984375	cg17882795
0.984375	cg00164462
0.984375	cg14011486
0.515625	cg21863499
0.984375	cg08535184
0.5	cg27530704
0.984375	cg12081897
0.984375	cg01803759
0.984375	cg24534743
0.984375	cg18138866
0.984375	cg00972603
0.453125	cg06219592
0	cg00160667
0.984375	cg09168548
0.984375	cg18270627
0.015625	cg00007036
0.984375	cg05819172
0	cg22697574
0.984375	cg07905888
0.984375	cg02711976
0.984375	cg14230917
0.984375	cg11703404
0.984375	cg13934830
0.984375	cg18648063
0.984375	cg12158389
0.984375	cg16712416
0.96875	cg13181052
0.984375	cg03828076
0.984375	cg08707192
0.984375	cg16140432
0.984375	cg09162315
0.984375	cg12034678
0.984375	cg02031397
0.984375	cg07554154
0.984375	cg03346936
0.984375	cg01412936
0.984375	cg21780294
0.984375	cg07977713
0.984375	cg18083817
0.984375	cg21888040
0.984375	cg15684702
0.984375	cg06788803
0.984375	cg00103132
0.984375	cg10089626
0.984375	cg25029986
0.984375	cg09893068
0.984375	cg21902252
0.984375	cg09227800
0.984375	cg00645897
0.96875	cg01801182
0.984375	cg04879861
0.984375	cg02581151
0.984375	cg11665991
0.984375	cg09744314
0.984375	cg00709387
0.984375	cg17076592
0.984375	cg13430225
0.984375	cg09135113
0.671875	cg04605287
0.5	cg13067194
0.15625	cg00305263
0.65625	cg09266310
0.96875	cg15915680
0.984375	cg09901932
0.984375	cg09456465
0.96875	cg16314899
0.984375	cg18395777
0.796875	cg22658003
0.984375	cg14843688
0.984375	cg06098382
0.984375	cg22535320
0.984375	cg26347197
0.984375	cg25104671
0.984375	cg00388605
0.984375	cg09866757
0.984375	cg03347944
0.984375	cg07594474
0.984375	cg15068050
0.984375	cg18221467
0.984375	cg03888578
0.984375	cg06100373
0.984375	cg19827167
0.90625	cg05365220
0.984375	cg21306738
0.984375	cg23592851
0.9375	cg21372392
0.953125	cg09845133
0.984375	cg24373253
0.984375	cg20166532
0.984375	cg08311092
0.5	cg24853765
0.984375	cg19378640
0.984375	cg18085070
0.984375	cg02830632
0.984375	cg09152047
0.984375	cg23987054
0.984375	cg05851533
0.984375	cg24407827
0.984375	cg25355888
0.453125	cg08993197
0.984375	cg22865470
0.71875	cg00058299
0.796875	cg08105352
0.984375	cg25720121
0.984375	cg21859337
0.9375	cg15159625
0.984375	cg13245593
0.859375	cg19638881
0.578125	cg21307775
0.984375	cg11344430
0.984375	cg03122179
0.984375	cg21788473
0.984375	cg03225546
0.984375	cg19868404
0.984375	cg22392857
0.984375	cg08623888
0.984375	cg02087985
0.765625	cg11826852
0.984375	cg16291048
0.984375	cg05236424
0.984375	cg17270736
0.984375	cg05297315
0.984375	cg08140891
0.96875	cg19233405
0.9375	cg23256951
0.984375	cg04357256
0.984375	cg06251129
0.984375	cg03902642
0.984375	cg24086565
0.984375	cg21815047
0.96875	cg14609757
0.984375	cg16269733
0.84375	cg09106574
